"DEPARTURE","ARRIVAL","ORIGIN","DEST","DISTANCE","DEP_DELAY","ARR_DELAY",
1456902780,1456909332,"SFO","DFW",1464.00,-7.00,-34.00, 
1456989480,1456996464,"SFO","DFW",1464.00,-2.00,-17.00, 
1457078160,1457085468,"SFO","DFW",1464.00,36.00,30.00, 
1457167800,1457175432,"SFO","DFW",1464.00,90.00,93.00, 
1456854240,1456862268,"DFW","SFO",1464.00,-1.00,-12.00, 
1456940580,1456949076,"DFW","SFO",1464.00,-2.00,0.00, 
1457027640,1457036424,"DFW","SFO",1464.00,9.00,19.00, 
1457114400,1457123760,"DFW","SFO",1464.00,15.00,41.00, 
1457201640,1457211072,"DFW","SFO",1464.00,29.00,57.00, 
1456866960,1456872468,"BOS","ORD",867.00,200.00,161.00, 
1456941120,1456946880,"BOS","ORD",867.00,-4.00,-36.00, 
1457028360,1457034660,"BOS","ORD",867.00,10.00,-7.00, 
1457120880,1457127684,"BOS","ORD",867.00,112.00,109.00, 
1457200320,1457205720,"BOS","ORD",867.00,-4.00,-46.00, 
1457033280,1457042604,"ORD","SAN",1723.00,8.00,7.00, 
1457119080,1457128872,"ORD","SAN",1723.00,-2.00,10.00, 
1456819380,1456838532,"DFW","HNL",3784.00,-2.00,3.00, 
1456905600,1456924644,"DFW","HNL",3784.00,-5.00,-3.00, 
1456992720,1457011872,"DFW","HNL",3784.00,7.00,12.00, 
1457078280,1457097540,"DFW","HNL",3784.00,-7.00,1.00, 
1457165040,1457184228,"DFW","HNL",3784.00,-1.00,5.00, 
1456813320,1456823868,"MIA","PHX",1972.00,22.00,-3.00, 
1456898160,1456909392,"MIA","PHX",1972.00,-4.00,-10.00, 
1457034960,1457049072,"JFK","LAX",2475.00,-4.00,1.00, 
1457124780,1457138676,"JFK","LAX",2475.00,53.00,52.00, 
1456814700,1456824384,"LAX","ORD",1744.00,-5.00,15.00, 
1456901160,1456909980,"LAX","ORD",1744.00,-4.00,-8.00, 
1456987620,1456996368,"LAX","ORD",1744.00,-3.00,-9.00, 
1457073900,1457081820,"LAX","ORD",1744.00,-5.00,-34.00, 
1457160420,1457169384,"LAX","ORD",1744.00,-3.00,-3.00, 
